0,1,2,3,4,5,6,7,8,9,10,11
1610431200000,36060.5,36615.1,34790.7,35369.2,165.334,1610452799999,5907762.7568,1657,87.289,3115801.1986,0
1610452800000,35350.9,35861.0,32520.4,34973.8,218.777,1610474399999,7493172.2701,2544,107.515,3689024.3084,0
1610474400000,34952.9,35506.6,33272.8,34021.1,212.812,1610495999999,7299498.6619,2605,108.269,3712758.9705,0
1610496000000,33877.8,34318.8,32346.7,33269.1,199.645,1610517599999,6631267.7842,2583,92.283,3070709.3437,0
1610517600000,33267.0,35241.3,33189.8,34312.1,195.231,1610539199999,6734589.5247,2496,81.640,2816758.2338,0
1610539200000,34403.6,35052.0,33932.5,34774.2,188.058,1610560799999,6493384.6306,2389,91.618,3162824.9038,0
1610560800000,34785.1,37763.5,34695.5,37355.7,212.525,1610582399999,7739213.1932,2936,102.701,3729824.9043,0
1610582400000,37451.4,38144.7,36615.4,37503.1,183.459,1610603999999,6871618.0959,2317,94.747,3548563.9657,0
1610604000000,37541.9,38757.0,37450.0,38341.1,207.619,1610625599999,7931578.8467,2717,101.508,3881377.0032,0
1610625600000,38294.4,40132.9,37693.5,39386.1,236.613,1610647199999,9266262.1792,3374,98.226,3844131.2582,0
1610647200000,39386.6,39870.6,38226.0,39091.6,241.037,1610668799999,9415107.4962,3660,107.055,4180148.1429,0
1610668800000,39164.4,39703.3,37761.3,37775.6,281.802,1610690399999,10958666.9124,4391,132.170,5136867.3484,0
1610690400000,37750.0,38790.0,37536.2,38018.7,352.801,1610711999999,13479108.0218,5587,173.820,6643057.9078,0
1610712000000,38051.5,38142.2,34362.0,35950.3,915.461,1610733599999,33119886.7342,15719,438.329,15869584.2188,0
1610733600000,35923.0,36937.4,34768.6,36737.6,732.642,1610755199999,26151305.1666,12358,361.349,12905825.7408,0
1610755200000,36739.0,37632.5,35522.9,35847.4,441.474,1610776799999,16173961.4368,5548,213.371,7821996.2188,0
1610776800000,35850.0,38149.1,35811.4,37677.8,423.507,1610798399999,15679212.3416,5337,199.453,7392311.1565,0
1610798400000,37693.5,37889.7,36676.5,36884.7,379.875,1610819999999,14145384.4616,5277,158.272,5897729.6599,0
1610820000000,36877.5,37163.6,35299.7,35975.0,403.218,1610841599999,14641736.2371,5416,184.585,6700678.0623,0
1610841600000,35990.6,36769.8,35376.9,35552.1,334.266,1610863199999,12077541.8142,4144,176.726,6390229.3743,0
1610863200000,35500.0,35722.5,33823.5,35268.0,636.853,1610884799999,22157205.9421,8362,314.462,10938552.0275,0
1610884800000,35268.0,36210.2,34600.1,35832.3,425.641,1610906399999,15090341.5527,5589,213.180,7557633.5946,0
1610906400000,35820.2,36858.7,35500.0,35818.3,303.817,1610927999999,10966356.3897,3805,150.718,5440089.6188,0
1610928000000,35830.4,36197.2,34704.7,35364.9,279.368,1610949599999,9895845.0323,3333,135.729,4811497.4591,0
1610949600000,35347.2,36631.3,35060.2,36408.4,305.552,1610971199999,11009196.0367,3877,151.259,5454134.4930,0
1610971200000,36407.6,37510.5,35401.0,35661.2,426.840,1610992799999,15590158.4688,5466,191.872,7020902.5067,0
1610992800000,35679.5,36787.0,35547.3,36632.1,254.670,1611014399999,9197536.3976,3242,119.198,4304023.1103,0
1611014400000,36660.0,37324.3,36244.0,36248.5,280.176,1611035999999,10281896.6211,3385,137.083,5028552.5142,0
1611036000000,36242.8,37638.6,36169.0,37294.3,288.366,1611057599999,10678754.5821,3674,144.072,5337706.4242,0
1611057600000,37302.4,37874.8,36647.9,37199.5,310.974,1611079199999,11578837.8486,3888,146.489,5456712.1388,0
1611079200000,37173.9,37188.7,35839.9,35839.9,373.324,1611100799999,13641054.5003,4760,178.168,6511052.1832,0
1611100800000,35839.9,36410.1,34757.5,35494.1,454.197,1611122399999,16185167.9822,6153,215.388,7670765.6306,0
1611122400000,35476.1,35978.7,33915.6,34377.4,369.841,1611143999999,12952394.8908,4780,204.194,7154766.6626,0
1611144000000,34383.9,35149.0,33358.1,34848.3,335.899,1611165599999,11592536.6308,5028,149.542,5166707.3174,0
1611165600000,34870.0,35678.7,34516.7,35514.4,245.370,1611187199999,8604169.8497,3242,97.083,3407365.1415,0
1611187200000,35523.1,35639.1,33970.1,34603.7,223.131,1611208799999,7752760.0184,3083,151.312,5265629.4384,0
1611208800000,34580.7,35039.8,31983.0,32152.2,333.896,1611230399999,11176987.0140,5050,178.134,6014305.7228,0
1611230400000,32245.8,32793.9,31015.0,31903.4,430.737,1611251999999,13736699.6241,6586,133.185,4240817.7493,0
1611252000000,31907.9,32776.6,30027.0,30844.2,347.311,1611273599999,10930542.7042,5332,117.223,3686234.8049,0
1611273600000,30899.6,31927.2,28797.4,31811.6,452.857,1611295199999,13724935.0278,6638,178.593,5420325.0732,0
1611295200000,31826.2,32107.5,30498.8,31723.2,293.982,1611316799999,9231080.5535,4169,94.721,2982235.6276,0
